----------------------------- Report 1 (All Orders) -----------------------------
Order Number  Table  Product                                 Quantity  Date
------------  -----  --------------------------------------  --------  ----------
594           65     Porchetta Sandwich                      145       01-AUG-22
593           64     Ginger and Honey Biscuits               122       01-AUG-22
592           63     Cream and Cheese Crackers               3         01-AUG-22
591           62     Flavoured Tea                           122       31-JUL-22
590           61     Iced Coffee                             111       31-JUL-22
475           60     Single Espresso                         100       31-JUL-22
297           59     Hot Cakes                               23        30-JUL-22
240           58     Hazelnut Cream Pastries                 25        30-JUL-22
199           57     Cream Donuts                            113       30-JUL-22
188           56     Sourdough Cookies                       8         30-JUL-22
179           54     Flavoured Shots                         110       29-JUL-22
167           53     Decafe Americano                        15        29-JUL-22
150           52     Peached Italia Drink - Estathe          15        29-JUL-22
109           55     Croissants                              17        30-JUL-22
101           51     Diet Coke                               5         29-JUL-22
100           50     Cappuccino                              10        29-JUL-22
----------------------------- Report 2 (Outstanding Orders) ---------------------
Order Number  Table  Customer                             Ammount         Date
------------  -----  -----------------------------------  -----------  ----------
594           65     Ben McCallister                      20.59        01-AUG-22
593           64     Henry Fakes                          15.99        01-AUG-22
592           63     Murray Saul                          11.99        01-AUG-22
591           62     Lynn Winter                          12.99        31-JUL-22
590           61     Aaron Jackson                        13.59        31-JUL-22
475           60     Infernalki Burns                     14.59        31-JUL-22
297           59     Soni Finch                           8.99         30-JUL-22
240           58     James Umbrella                       7.59         30-JUL-22
199           57     Mike Burns                           6.99         30-JUL-22
188           56     Robinson Adams                       6.1          30-JUL-22
179           54     Jessie Mac                           4.59         29-JUL-22
167           53     Jaquelene Spadel                     3.59         29-JUL-22
150           52     Sara Butchmen                        9.69         29-JUL-22
109           55     Steve Mccallister                    5.99         30-JUL-22
101           51     Katerina Adams                       13.99        29-JUL-22
100           50     Henry Katherine                      14.99        29-JUL-22
------------------------- Report 3 (Inventory Availability) ---------------------
ID     Product                          Category           Price        Available
-----  ------------------------------   -----------------  -----------  ---------
576    Hot Cakes                        Hot Cakes          3.99         NO
569    Peached Italia Drink - Estathe   Cold Drinks        3.59         NO
573    Sourdough Cookies                Cookies            3.49         NO
567    Cappuccino                       Regular Beverages  3.49         YES
574    Cream Donuts                     Donuts             2.99         YES
580    Cream and Cheese Crackers        Crackers           4            YES
572    Croissants                       Pastries           3            YES
570    Decafe Americano                 Decafe Coffee      2.49         YES
568    Diet Coke                        Soft Drinks        1.49         YES
571    Flavoured Shots                  Pantries           .79          YES
579    Flavoured Tea                    Teas               3.99         YES
581    Ginger and Honey Biscuits        Biscuits           4            YES
575    Hazelnut Cream Pastries          Cakes              2.99         YES
578    Iced Coffee                      Iced Beverages     2.49         YES
582    Porchetta Sandwich               Sandwiches         10.99        YES
577    Single Espresso                  Drip Coffee        1.29         YES
